module,file_path,candidate_function_count,priority_high_count,priority_mid_count,priority_low_count,status,has_bench,has_unit_test
geometry,geometry/include/pcl/geometry/mesh_traits.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/organized_index_iterator.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/planar_polygon.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/polygon_mesh.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/polygon_operations.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/quad_mesh.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/triangle_mesh.h,0,0,0,0,unassessed,no,no
gpu,gpu/containers/include/pcl/gpu/containers/device_array.h,0,0,0,0,unassessed,no,no
gpu,gpu/containers/include/pcl/gpu/containers/device_memory.h,0,0,0,0,unassessed,no,no
gpu,gpu/containers/include/pcl/gpu/containers/impl/device_array.hpp,0,0,0,0,unassessed,no,no
gpu,gpu/containers/include/pcl/gpu/containers/impl/device_memory.hpp,0,0,0,0,unassessed,no,no
gpu,gpu/containers/include/pcl/gpu/containers/impl/repacks.hpp,0,0,0,0,unassessed,no,no
